x, y, vx, vy, left_present, l_x, l_y, l_vx, l_vy, forward_present, f_x, f_y, f_vx, f_vy, right_present, r_x, r_y, r_vx, r_vy, LA.steer, LA.acc, target_lane, HA
0.0, -1.0, 0.324, 0.0, 1.0, 0.0, -1.0, 0.324, 0.0, 1.0, 0.201, 0.0, -0.078, 0.055, 1.0, 0.61, 1.0, -0.073, 0.0, 0.035, 2.122, 0, 0
0.0, -1.0, 0.333, 0.0, 1.0, 0.0, -1.0, 0.333, 0.0, 1.0, 0.389, 0.0, -0.071, 0.0, 1.0, 0.185, 1.0, -0.088, 0.032, -0.002, 1.146, 0, 0
0.0, -1.0, 0.341, 0.0, 1.0, 0.0, -1.0, 0.341, 0.0, 1.0, 0.374, 0.0, -0.08, 0.0, 1.0, 0.167, 1.0, -0.095, 0.012, 0.116, 0.4, 0, 0
0.0, -1.0, 0.347, 0.0, 1.0, 0.0, -1.0, 0.347, 0.0, 1.0, 0.358, 0.0, -0.087, 0.0, 1.0, 0.147, 1.0, -0.102, 0.004, 0.069, 0.243, 0, 0
0.0, -1.0, 0.352, 0.0, 1.0, 0.0, -1.0, 0.352, 0.0, 1.0, 0.34, 0.0, -0.093, 0.0, 1.0, 0.126, 1.0, -0.109, 0.001, 0.043, 0.72, 0, 0
0.0, -1.0, 0.356, 0.0, 1.0, 0.0, -1.0, 0.356, 0.0, 1.0, 0.321, 0.0, -0.098, 0.0, 1.0, 0.104, 1.0, -0.11, 0.0, -0.104, 0.86, 0, 0
0.0, -1.0, 0.36, 0.0, 1.0, 0.0, -1.0, 0.36, 0.0, 1.0, 0.301, 0.0, -0.101, 0.0, 1.0, 0.082, 1.0, -0.11, 0.0, 0.04, 0.335, 0, 0
0.0, -1.0, 0.363, 0.0, 1.0, 0.0, -1.0, 0.363, 0.0, 1.0, 0.28, 0.0, -0.105, 0.0, 1.0, 0.06, 1.0, -0.111, 0.0, -0.013, 0.409, 0, 0
0.0, -1.0, 0.365, 0.0, 1.0, 0.0, -1.0, 0.365, 0.0, 1.0, 0.259, 0.0, -0.107, 0.0, 1.0, 0.038, 1.0, -0.111, 0.0, 0.071, 0.206, 0, 0
0.0, -1.0, 0.367, 0.0, 1.0, 0.0, -1.0, 0.367, 0.0, 1.0, 0.238, 0.0, -0.109, 0.0, 1.0, 0.015, 1.0, -0.112, 0.0, -0.002, 0.717, 0, 0
0.0, -1.0, 0.368, 0.0, 1.0, 0.0, -1.0, 0.368, 0.0, 1.0, 0.216, 0.0, -0.111, 0.0, 1.0, -0.007, 1.0, -0.112, 0.0, -0.028, 0.954, 0, 0
0.0, -1.0, 0.369, 0.0, 1.0, 0.0, -1.0, 0.369, 0.0, 1.0, 0.193, 0.0, -0.112, 0.0, 1.0, -0.029, 1.0, -0.113, 0.0, -0.006, 0.282, 0, 0
0.0, -1.0, 0.366, 0.057, 1.0, 0.0, -1.0, 0.366, 0.057, 1.0, 0.171, 0.0, -0.109, -0.057, 1.0, 0.501, 1.0, -0.102, -0.057, 0.034, -0.155, 1, 0
1.0, 1.0, 0.37, 0.027, 1.0, 0.149, -1.0, -0.113, -0.027, 1.0, 0.48, 0.0, -0.106, -0.027, 1.0, -0.014, 1.0, -0.139, -0.027, -0.062, -0.841, 1, 0
1.0, 1.0, 0.372, 0.008, 1.0, 0.127, -1.0, -0.114, -0.008, 1.0, 0.458, 0.0, -0.108, -0.008, 1.0, -0.042, 1.0, -0.14, -0.008, -0.057, -0.112, 1, 0
1.0, 1.0, 0.373, 0.002, 1.0, 0.104, -1.0, -0.115, -0.002, 1.0, 0.437, 0.0, -0.108, -0.002, 1.0, 0.206, 1.0, -0.136, -0.002, -0.052, -0.644, 1, 0
1.0, 1.0, 0.373, 0.001, 1.0, 0.081, -1.0, -0.115, -0.001, 1.0, 0.415, 0.0, -0.109, -0.001, 1.0, 0.179, 1.0, -0.136, -0.001, -0.111, 0.099, 1, 0
1.0, 1.0, 0.373, 0.0, 1.0, 0.057, -1.0, -0.116, -0.0, 1.0, 0.393, 0.0, -0.109, -0.0, 1.0, 0.151, 1.0, -0.135, -0.0, -0.01, -0.086, 1, 0
1.0, 1.0, 0.374, 0.0, 1.0, 0.034, -1.0, -0.116, -0.0, 1.0, 0.371, 0.0, -0.109, -0.0, 1.0, 0.124, 1.0, -0.135, -0.0, -0.109, -0.179, 1, 0
1.0, 1.0, 0.374, 0.0, 1.0, 0.011, -1.0, -0.116, -0.0, 1.0, 0.35, 0.0, -0.11, -0.0, 1.0, 0.097, 1.0, -0.135, -0.0, -0.031, -0.789, 1, 0
1.0, 1.0, 0.374, 0.0, 1.0, -0.012, -1.0, -0.116, -0.0, 1.0, 0.328, 0.0, -0.11, -0.0, 1.0, 0.07, 1.0, -0.135, -0.0, 0.077, -0.038, 1, 0
1.0, 1.0, 0.374, 0.0, 1.0, -0.035, -1.0, -0.116, -0.0, 1.0, 0.306, 0.0, -0.11, -0.0, 1.0, 0.043, 1.0, -0.135, -0.0, -0.02, 0.313, 1, 0
1.0, 1.0, 0.374, 0.0, 1.0, 0.478, -1.0, -0.109, -0.0, 1.0, 0.284, 0.0, -0.11, -0.0, 1.0, 0.016, 1.0, -0.135, -0.0, 0.108, 0.128, 1, 0
1.0, 1.0, 0.375, -0.0, 1.0, 0.456, -1.0, -0.109, 0.0, 1.0, 0.262, 0.0, -0.11, 0.0, 1.0, -0.011, 1.0, -0.135, 0.0, -0.179, 0.651, 0, 0
0.0, -1.0, 0.371, -0.052, 1.0, 0.0, -1.0, 0.371, -0.052, 1.0, 0.435, 0.0, -0.105, 0.052, 1.0, 0.24, 1.0, -0.106, 0.052, -0.043, -0.26, 0, 0
0.0, -1.0, 0.374, -0.021, 1.0, 0.0, -1.0, 0.374, -0.021, 1.0, 0.414, 0.0, -0.108, 0.021, 1.0, 0.219, 1.0, -0.109, 0.021, 0.092, 0.864, 0, 0
0.0, -1.0, 0.375, -0.007, 1.0, 0.0, -1.0, 0.375, -0.007, 1.0, 0.392, 0.0, -0.109, 0.007, 1.0, 0.197, 1.0, -0.11, 0.007, 0.033, -0.344, 0, 0
0.0, -1.0, 0.375, -0.002, 1.0, 0.0, -1.0, 0.375, -0.002, 1.0, 0.371, 0.0, -0.109, 0.002, 1.0, 0.175, 1.0, -0.11, 0.002, -0.008, -0.224, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.349, 0.0, -0.109, 0.0, 1.0, 0.153, 1.0, -0.11, 0.0, 0.063, -1.138, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.327, 0.0, -0.109, 0.0, 1.0, 0.131, 1.0, -0.11, 0.0, 0.023, -0.288, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.305, 0.0, -0.108, 0.0, 1.0, 0.109, 1.0, -0.11, 0.0, 0.097, 0.119, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.284, 0.0, -0.108, 0.0, 1.0, 0.087, 1.0, -0.11, 0.0, -0.024, 0.568, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.262, 0.0, -0.108, 0.0, 1.0, 0.065, 1.0, -0.11, 0.0, 0.009, -0.562, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.24, 0.0, -0.108, 0.0, 1.0, 0.043, 1.0, -0.109, 0.0, -0.022, -0.558, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.219, 0.0, -0.108, 0.0, 1.0, 0.021, 1.0, -0.109, 0.0, 0.155, -0.067, 0, 0
0.0, -1.0, 0.375, 0.0, 1.0, 0.0, -1.0, 0.375, 0.0, 1.0, 0.197, 0.0, -0.108, -0.0, 1.0, -0.001, 1.0, -0.109, -0.0, -0.045, 0.004, 0, 0
0.0, -1.0, 0.375, 0.0, 1.0, 0.0, -1.0, 0.375, 0.0, 1.0, 0.175, 0.0, -0.108, -0.0, 1.0, -0.022, 1.0, -0.109, -0.0, 0.111, 0.405, 0, 0
0.0, -1.0, 0.375, 0.0, 1.0, 0.0, -1.0, 0.375, 0.0, 1.0, 0.154, 0.0, -0.108, -0.0, 1.0, -0.044, 1.0, -0.109, -0.0, -0.048, -0.231, 0, 0
0.0, -1.0, 0.375, 0.0, 1.0, 0.0, -1.0, 0.375, 0.0, 1.0, 0.132, 0.0, -0.108, -0.0, 1.0, 0.422, 1.0, -0.103, -0.0, -0.014, 1.557, 0, 0
0.0, -1.0, 0.375, 0.0, 1.0, 0.0, -1.0, 0.375, 0.0, 1.0, 0.111, 0.0, -0.108, -0.0, 1.0, 0.401, 1.0, -0.103, -0.0, 0.148, -0.337, 0, 0
0.0, -1.0, 0.375, 0.0, 1.0, 0.0, -1.0, 0.375, 0.0, 1.0, 0.089, 0.0, -0.108, -0.0, 1.0, 0.381, 1.0, -0.102, -0.0, 0.188, -0.417, 0, 0
0.0, -1.0, 0.371, 0.054, 1.0, 0.0, -1.0, 0.371, 0.054, 1.0, 0.068, 0.0, -0.104, -0.054, 1.0, 0.361, 1.0, -0.098, -0.054, -0.068, -0.802, 1, 0
1.0, 1.0, 0.374, 0.024, 1.0, 0.047, -1.0, -0.107, -0.024, 1.0, 0.341, 0.0, -0.101, -0.024, 1.0, 0.084, 1.0, -0.127, -0.024, -0.222, -0.318, 1, 0
1.0, 1.0, 0.375, 0.007, 1.0, 0.025, -1.0, -0.108, -0.007, 1.0, 0.321, 0.0, -0.102, -0.007, 1.0, 0.059, 1.0, -0.127, -0.007, -0.062, 0.443, 1, 0
1.0, 1.0, 0.375, 0.002, 1.0, 0.004, -1.0, -0.108, -0.002, 1.0, 0.3, 0.0, -0.101, -0.002, 1.0, 0.033, 1.0, -0.127, -0.002, 0.073, -0.148, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, -0.018, -1.0, -0.108, -0.0, 1.0, 0.28, 0.0, -0.101, -0.0, 1.0, 0.008, 1.0, -0.127, -0.0, 0.024, -0.639, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, -0.039, -1.0, -0.108, -0.0, 1.0, 0.26, 0.0, -0.101, -0.0, 1.0, -0.018, 1.0, -0.127, -0.0, -0.002, -1.069, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.475, -1.0, -0.1, -0.0, 1.0, 0.24, 0.0, -0.101, -0.0, 1.0, -0.043, 1.0, -0.127, -0.0, -0.013, 0.605, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.455, -1.0, -0.1, -0.0, 1.0, 0.219, 0.0, -0.101, -0.0, 1.0, 0.338, 1.0, -0.121, -0.0, -0.127, -0.043, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.435, -1.0, -0.101, -0.0, 1.0, 0.199, 0.0, -0.101, -0.0, 1.0, 0.314, 1.0, -0.121, -0.0, -0.14, -0.621, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.415, -1.0, -0.101, -0.0, 1.0, 0.179, 0.0, -0.1, -0.0, 1.0, 0.29, 1.0, -0.121, -0.0, -0.087, -0.229, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.395, -1.0, -0.101, -0.0, 1.0, 0.159, 0.0, -0.1, -0.0, 1.0, 0.266, 1.0, -0.12, -0.0, 0.011, 0.211, 1, 0
1.0, 1.0, 0.375, -0.0, 1.0, 0.374, -1.0, -0.101, 0.0, 1.0, 0.139, 0.0, -0.1, 0.0, 1.0, 0.242, 1.0, -0.12, 0.0, 0.033, 0.942, 1, 0
1.0, 1.0, 0.375, -0.0, 1.0, 0.354, -1.0, -0.102, 0.0, 1.0, 0.119, 0.0, -0.1, 0.0, 1.0, 0.218, 1.0, -0.12, 0.0, -0.078, -0.913, 1, 0
1.0, 1.0, 0.372, -0.046, 1.0, 0.334, -1.0, -0.099, 0.046, 1.0, 0.099, 0.0, -0.097, 0.046, 1.0, 0.194, 1.0, -0.117, 0.046, -0.193, -0.416, 0, 0
0.0, -1.0, 0.373, -0.042, 1.0, 0.0, -1.0, 0.373, -0.042, 1.0, 0.314, 0.0, -0.1, 0.042, 1.0, 0.08, 1.0, -0.097, 0.042, -0.035, -0.278, 0, 0
0.0, -1.0, 0.375, -0.015, 1.0, 0.0, -1.0, 0.375, -0.015, 1.0, 0.294, 0.0, -0.102, 0.015, 1.0, 0.06, 1.0, -0.099, 0.015, -0.013, -0.622, 0, 0
0.0, -1.0, 0.375, -0.004, 1.0, 0.0, -1.0, 0.375, -0.004, 1.0, 0.273, 0.0, -0.103, 0.004, 1.0, 0.04, 1.0, -0.1, 0.004, 0.073, 1.097, 0, 0
0.0, -1.0, 0.375, -0.001, 1.0, 0.0, -1.0, 0.375, -0.001, 1.0, 0.253, 0.0, -0.103, 0.001, 1.0, 0.02, 1.0, -0.1, 0.001, -0.017, -0.934, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.232, 0.0, -0.103, 0.0, 1.0, 0.0, 1.0, -0.099, 0.0, -0.006, 0.696, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.212, 0.0, -0.103, 0.0, 1.0, -0.019, 1.0, -0.099, 0.0, -0.027, -0.495, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.191, 0.0, -0.104, 0.0, 1.0, -0.039, 1.0, -0.099, 0.0, 0.073, 0.004, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.17, 0.0, -0.104, 0.0, 1.0, 0.403, 1.0, -0.093, 0.0, 0.026, -0.052, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.149, 0.0, -0.104, 0.0, 1.0, 0.385, 1.0, -0.093, 0.0, 0.085, -0.234, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.128, 0.0, -0.104, 0.0, 1.0, 0.366, 1.0, -0.093, 0.0, 0.169, -0.624, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.107, 0.0, -0.105, 0.0, 1.0, 0.347, 1.0, -0.093, 0.0, 0.057, 0.116, 0, 0
0.0, -1.0, 0.37, 0.058, 1.0, 0.0, -1.0, 0.37, 0.058, 1.0, 0.087, 0.0, -0.101, -0.058, 1.0, 0.329, 1.0, -0.089, -0.058, -0.018, -0.445, 1, 0
1.0, 1.0, 0.374, 0.032, 1.0, 0.066, -1.0, -0.104, -0.032, 1.0, 0.311, 0.0, -0.092, -0.032, 1.0, 0.191, 1.0, -0.116, -0.032, 0.029, 0.537, 1, 0
1.0, 1.0, 0.375, 0.011, 1.0, 0.045, -1.0, -0.105, -0.011, 1.0, 0.292, 0.0, -0.094, -0.011, 1.0, 0.167, 1.0, -0.117, -0.011, 0.121, -0.168, 1, 0
1.0, 1.0, 0.375, 0.003, 1.0, 0.024, -1.0, -0.106, -0.003, 1.0, 0.273, 0.0, -0.094, -0.003, 1.0, 0.144, 1.0, -0.117, -0.003, -0.225, 0.237, 1, 0
1.0, 1.0, 0.375, 0.001, 1.0, 0.003, -1.0, -0.106, -0.001, 1.0, 0.255, 0.0, -0.095, -0.001, 1.0, 0.121, 1.0, -0.117, -0.001, 0.114, -0.261, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, -0.018, -1.0, -0.106, -0.0, 1.0, 0.236, 0.0, -0.095, -0.0, 1.0, 0.097, 1.0, -0.117, -0.0, 0.049, 0.007, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, -0.039, -1.0, -0.107, -0.0, 1.0, 0.217, 0.0, -0.095, -0.0, 1.0, 0.074, 1.0, -0.117, -0.0, -0.053, 0.117, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.391, -1.0, -0.124, -0.0, 1.0, 0.198, 0.0, -0.096, -0.0, 1.0, 0.05, 1.0, -0.117, -0.0, -0.082, -0.106, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.366, -1.0, -0.124, -0.0, 1.0, 0.178, 0.0, -0.096, -0.0, 1.0, 0.027, 1.0, -0.117, -0.0, -0.068, 0.04, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.341, -1.0, -0.124, -0.0, 1.0, 0.159, 0.0, -0.096, -0.0, 1.0, 0.004, 1.0, -0.117, -0.0, 0.107, 0.828, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.316, -1.0, -0.124, -0.0, 1.0, 0.14, 0.0, -0.096, -0.0, 1.0, -0.02, 1.0, -0.117, -0.0, 0.023, 0.539, 1, 0
1.0, 1.0, 0.375, -0.0, 1.0, 0.291, -1.0, -0.124, 0.0, 1.0, 0.121, 0.0, -0.097, 0.0, 1.0, -0.043, 1.0, -0.117, 0.0, -0.094, 0.231, 1, 0
1.0, 1.0, 0.375, -0.0, 1.0, 0.267, -1.0, -0.124, 0.0, 1.0, 0.101, 0.0, -0.097, 0.0, 1.0, 0.472, 1.0, -0.115, 0.0, -0.056, 0.602, 1, 0
1.0, 1.0, 0.37, -0.058, 1.0, 0.242, -1.0, -0.12, 0.058, 1.0, 0.082, 0.0, -0.093, 0.058, 1.0, 0.449, 1.0, -0.11, 0.058, 0.089, 0.872, 0, 0
0.0, -1.0, 0.374, -0.032, 1.0, 0.0, -1.0, 0.374, -0.032, 1.0, 0.218, 0.0, -0.123, 0.032, 1.0, 0.063, 1.0, -0.096, 0.032, 0.061, 0.709, 0, 0
0.0, -1.0, 0.375, -0.011, 1.0, 0.0, -1.0, 0.375, -0.011, 1.0, 0.193, 0.0, -0.124, 0.011, 1.0, 0.044, 1.0, -0.098, 0.011, 0.009, -0.28, 0, 0
0.0, -1.0, 0.375, -0.003, 1.0, 0.0, -1.0, 0.375, -0.003, 1.0, 0.168, 0.0, -0.124, 0.003, 1.0, 0.024, 1.0, -0.098, 0.003, -0.095, -0.38, 0, 0
0.0, -1.0, 0.375, -0.001, 1.0, 0.0, -1.0, 0.375, -0.001, 1.0, 0.143, 0.0, -0.124, 0.001, 1.0, 0.005, 1.0, -0.099, 0.001, -0.083, -1.148, 0, 0
0.0, -1.0, 0.375, -0.0, 1.0, 0.0, -1.0, 0.375, -0.0, 1.0, 0.118, 0.0, -0.124, 0.0, 1.0, -0.015, 1.0, -0.099, 0.0, 0.041, 0.231, 0, 0
0.0, -1.0, 0.371, 0.056, 1.0, 0.0, -1.0, 0.371, 0.056, 1.0, 0.094, 0.0, -0.12, -0.056, 1.0, -0.035, 1.0, -0.095, -0.056, -0.054, -0.103, 1, 0
1.0, 1.0, 0.373, 0.036, 1.0, 0.07, -1.0, -0.123, -0.036, 1.0, 0.41, 0.0, -0.117, -0.036, 1.0, 0.29, 1.0, -0.113, -0.036, -0.055, 0.27, 1, 0
1.0, 1.0, 0.375, 0.012, 1.0, 0.045, -1.0, -0.124, -0.012, 1.0, 0.386, 0.0, -0.118, -0.012, 1.0, 0.267, 1.0, -0.115, -0.012, -0.125, 0.155, 1, 0
1.0, 1.0, 0.375, 0.003, 1.0, 0.02, -1.0, -0.124, -0.003, 1.0, 0.363, 0.0, -0.119, -0.003, 1.0, 0.244, 1.0, -0.115, -0.003, -0.135, 0.188, 1, 0
1.0, 1.0, 0.375, 0.001, 1.0, -0.005, -1.0, -0.124, -0.001, 1.0, 0.339, 0.0, -0.119, -0.001, 1.0, 0.221, 1.0, -0.115, -0.001, -0.034, -0.12, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, -0.029, -1.0, -0.124, -0.0, 1.0, 0.315, 0.0, -0.119, -0.0, 1.0, 0.198, 1.0, -0.115, -0.0, 0.096, -0.226, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.327, -1.0, -0.124, -0.0, 1.0, 0.292, 0.0, -0.119, -0.0, 1.0, 0.175, 1.0, -0.115, -0.0, -0.046, 0.081, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.303, -1.0, -0.124, -0.0, 1.0, 0.268, 0.0, -0.119, -0.0, 1.0, 0.152, 1.0, -0.115, -0.0, -0.035, -0.311, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.278, -1.0, -0.124, -0.0, 1.0, 0.244, 0.0, -0.119, -0.0, 1.0, 0.129, 1.0, -0.115, -0.0, -0.019, 0.124, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.253, -1.0, -0.124, -0.0, 1.0, 0.22, 0.0, -0.119, -0.0, 1.0, 0.106, 1.0, -0.115, -0.0, 0.056, 0.397, 1, 0
1.0, 1.0, 0.375, 0.0, 1.0, 0.228, -1.0, -0.124, -0.0, 1.0, 0.197, 0.0, -0.119, -0.0, 1.0, 0.083, 1.0, -0.115, -0.0, 0.074, 0.139, 1, 0
1.0, 1.0, 0.375, -0.0, 1.0, 0.204, -1.0, -0.124, 0.0, 1.0, 0.173, 0.0, -0.119, 0.0, 1.0, 0.06, 1.0, -0.115, 0.0, -0.03, -0.432, 1, 0
1.0, 1.0, 0.375, -0.0, 1.0, 0.179, -1.0, -0.124, 0.0, 1.0, 0.149, 0.0, -0.119, 0.0, 1.0, 0.037, 1.0, -0.115, 0.0, 0.061, 0.213, 1, 0
1.0, 1.0, 0.375, -0.0, 1.0, 0.154, -1.0, -0.124, 0.0, 1.0, 0.125, 0.0, -0.119, 0.0, 1.0, 0.014, 1.0, -0.115, 0.0, -0.017, -0.244, 1, 0
1.0, 1.0, 0.375, -0.0, 1.0, 0.129, -1.0, -0.124, 0.0, 1.0, 0.101, 0.0, -0.119, 0.0, 1.0, -0.009, 1.0, -0.115, 0.0, 0.11, 0.296, 1, 0
